local_health_board,facility,Notes on Geolocation Matching,post_code,lat,long
Betsi Cadwaladr University Health Board (1),Ysbyty Glan Clwyd,,LL18 5UJ,53.272323,-3.496123
Betsi Cadwaladr University Health Board (1),Abergele Hospital,,LL22 8DP,53.266546,-3.580222
Betsi Cadwaladr University Health Board (1),Wrexham Maelor Hospital,,LL13 7TD,53.047137,-3.008882
Betsi Cadwaladr University Health Board (1),Chirk Community Hospital,,LL14 5LN,52.943547,-3.052483
Betsi Cadwaladr University Health Board (1),Colwyn Bay Community Hospital,,LL29 8AY,53.2882999,-3.7102514
Betsi Cadwaladr University Health Board (1),Denbigh Community Hospital,,LL16 3ES,53.186184,-3.409787
Betsi Cadwaladr University Health Board (1),Holywell Community Hospital,,CH8 7TZ,53.269272,-3.216516
Betsi Cadwaladr University Health Board (1),Mold Community Hospital,,CH7 1XG,53.169715,-3.148059
Betsi Cadwaladr University Health Board (1),Ruthin Community Hospital,,LL15 1PS,53.113133,-3.303775
Betsi Cadwaladr University Health Board (1),Ysbyty Gwynedd,,LL57 2PW,53.209087,-4.160024
Betsi Cadwaladr University Health Board (1),Llandudno General Hospital,,LL30 1LB,53.311457,-3.827885
Betsi Cadwaladr University Health Board (1),Bryn Beryl Hospital,,LL53 6TT,52.912131,-4.394588
Betsi Cadwaladr University Health Board (1),Dolgellau And Barmouth District Hospital,,LL40 1NT,52.740741,-3.881717
Betsi Cadwaladr University Health Board (1),Tywyn & District War Memorial Hospital,,LL36 9HH,52.584108,-4.081361
Betsi Cadwaladr University Health Board (1),Ysbyty Alltwen,,LL49 9AQ,52.940555,-4.149549
Betsi Cadwaladr University Health Board (1),Deeside Community Hospital,,CH5 1XS,53.20243,-3.041442
Betsi Cadwaladr University Health Board (1),Penley Hospital,,LL13 0LH,52.954021,-2.870229
Betsi Cadwaladr University Health Board (1),Ysbyty Penrhos Stanley,,LL65 2QA,53.304221,-4.615743
Betsi Cadwaladr University Health Board (1),Cefni Hospital,,LL77 7PP,53.256591,-4.304343
Betsi Cadwaladr University Health Board (1),Eryri Hospital,,LL55 2YE,53.130181,-4.262679
Betsi Cadwaladr University Health Board (1),Ablett Unit,,LL18 5UJ,53.270054,-3.497287
Betsi Cadwaladr University Health Board (1),Tan-y-Castell (rehabilitation unit),,LL15 1LE,53.110716,-3.322707
Betsi Cadwaladr University Health Board (1),Ysbyty Gwynedd (psychiatric),,LL57 2PW,53.209017,-4.159681
Betsi Cadwaladr University Health Board (1),Bryn-y-Neuadd Hospital,,LL33 0HH,53.251916,-3.985161
Betsi Cadwaladr University Health Board (1),North Wales Cancer Treatment Centre,,LL18 5UJ,53.271191,-3.496968
Powys Teaching Health Board (1),Llandrindod Wells Hospital,,LD1 5HF,52.243465,-3.37701
Powys Teaching Health Board (1),Llanidloes And District War Memorial Hospital,,SY18 6HF,52.45249,-3.539543
Powys Teaching Health Board (1),Bro Ddyfi Community Hospital,,SY20 8AD,52.591629,-3.845604
Powys Teaching Health Board (1),Montgomeryshire County Infirmary,,SY16 2DW,52.520904,-3.314424
Powys Teaching Health Board (1),Victoria Memorial Hospital,,SY21 7DU,52.662427,-3.143725
Powys Teaching Health Board (1),Breconshire War Memorial Hospital,,LD3 7NS,51.948865,-3.384742
Powys Teaching Health Board (1),Knighton Hospital,,LD7 1DF,52.342188,-3.049775
Powys Teaching Health Board (1),Bronllys Hospital,,LD3 0LU,52.008256,-3.259676
Powys Teaching Health Board (1),Ystradgynlais Community Hospital,,SA9 1AU,51.767215,-3.764636
Hywel Dda University Health Board,Glangwili General Hospital,,SA31 2AF,51.868152,-4.284095
Hywel Dda University Health Board,Llandovery Hospital,,SA20 0LA,51.998789,-3.796926
Hywel Dda University Health Board,Bronglais General Hospital,,SY23 1ER,52.41612,-4.071663
Hywel Dda University Health Board,Prince Philip Hospital,,SA14 8QF,51.691751,-4.136022
Hywel Dda University Health Board,Withybush General Hospital,,SA61 2PZ,51.812718,-4.965466
Hywel Dda University Health Board,Tregaron Hospital,,SY25 6JP,52.215606,-3.936626
Hywel Dda University Health Board,Amman Valley Hospital,,SA18 2BQ,51.808285,-3.923438
Hywel Dda University Health Board,S. Pembs Hosp. Health & Social Care Res Centre,,SA72 6SX,51.692865,-4.956435
Hywel Dda University Health Board,Haverfordwest Mental Health Unit,"Used geolocation for the Withybush Hospital, in Haverfordwest (has an adult mental health unit).  No place in maps/NHS sites named ""Haverfordwest Mental Health Unit""",SA61 2PZ,51.812665,-4.965219
Hywel Dda University Health Board,Hafen Derwen (St Davids Hospital),,CF11 9XB,51.482042,-3.193771
Hywel Dda University Health Board,Carmarthen Mental Health Unit,"used geolocation data for ""Child & Adolescent Mental Health Services"" in Carmathen. No place in maps/NHS sites named Carmarthen Mental Health Unit",SA31 2AF,51.874141,-4.279807
Hywel Dda University Health Board,Aberystwyth Mental Health Unit,,SY23 1ER,52.416067,-4.071974
Hywel Dda University Health Board,Caebryn Mental Health Unit,,SA14 8QF,51.691618,-4.136162
Hywel Dda University Health Board,Ty Bryngwyn Mawr,,SA14 8QF,51.693098,-4.137112
Aneurin Bevan University Health Board,Nevill Hall Hospital,,NP7 7EG,51.825127,-3.034233
Aneurin Bevan University Health Board,Royal Gwent Hospital,,NP20 2UB,51.579863,-2.997397
Aneurin Bevan University Health Board,County Hospital,,NP4 5YA,51.691718,-3.02638
Aneurin Bevan University Health Board,St Woolos Community,,NP20 4SZ,51.582306,-3.003431
Aneurin Bevan University Health Board,Ysbyty Aneurin Bevan,,NP23 6GL,51.768278,-3.202735
Aneurin Bevan University Health Board,Ysbyty Ystrad Fawr,,CF82 7GP,51.634066,-3.234944
Aneurin Bevan University Health Board,Monnow Vale Health & Social Care Facility,,NP25 5BL,51.8104,-2.725291
Aneurin Bevan University Health Board,Chepstow Community Hospital,,NP16 5YX,51.63932,-2.686833
Aneurin Bevan University Health Board,St Cadoc's Hospital,,NP18 3XQ,51.613704,-2.964314
Aneurin Bevan University Health Board,Maindiff Court Hospital,,NP7 8NF,51.832957,-2.99513
Aneurin Bevan University Health Board,Ysbyty Tri Chwm,,NP23 6GT,51.791924,-3.21683
Aneurin Bevan University Health Board,Bridge View House LD House,,DD1 4LQ,56.453481,-2.989569
Aneurin Bevan University Health Board,Homelands L.D House,,NP26 3AJ,51.621226,-2.843608
Aneurin Bevan University Health Board,Twyn Glas (L.D.),,NP12 3LZ,51.668074,-3.208547
Aneurin Bevan University Health Board,Llanfrechfa Grange Hospital,,NP44 8YN,51.646604,-2.998119
Aneurin Bevan University Health Board,Lamb House (L.D.),,NP13 3DB,51.768566,-3.165038
Aneurin Bevan University Health Board,Mitchell Close,,NP44 8TX,51.643538,-2.99901
Aneurin Bevan University Health Board,Rhymney Integrated Health and Social Care Centre,,NP22 5PW,51.75805,-3.284909
Cardiff and Vale University Health Board,University Hospital Of Wales,,CF14 4XW,51.507128,-3.190424
Cardiff and Vale University Health Board,Rookwood Hospital,,CF5 2YN,51.494414,-3.225099
Cardiff and Vale University Health Board,University Hospital Llandough,,CF64 2XX,51.449266,-3.202671
Cardiff and Vale University Health Board,The Barry Hospital,,CF62 8YH,51.413855,-3.284954
Cardiff and Vale University Health Board,St Davids Community Hospital,,CF11 9XB,51.482057,-3.193698
Cardiff and Vale University Health Board,Whitchurch Hospital,"(Whitechurch Hospital has closed, this is the geolocation for Whitchurch Community Hospital)",SY13 1NT,52.972989,-2.679836
Cardiff and Vale University Health Board,Mental Health at Llandough Hospital,,CF64 2XX,51.449112,-3.202907
Cardiff and Vale University Health Board,Mental Health at Barry Hospital,,CF62 8YH,51.413855,-3.284954
Cardiff and Vale University Health Board,Wordsworth Mental Health Rehabilitation Unit,,CF24 3FR,51.487008,-3.163821
Abertawe Bro Morgannwg University Health Board,Abertawe Bro Morgannwg University Health Board,,SA12 7BR,51.613888,-3.814458
Abertawe Bro Morgannwg University Health Board,Singleton Hospital,,SA2 8QA,51.609399,-3.984862
Abertawe Bro Morgannwg University Health Board,Meadow Court (Learning Disabilities),,CF39 8HB,51.586265,-3.43427
Abertawe Bro Morgannwg University Health Board,Llwyneryr Hospital,,SA6 6AH,51.670317,-3.933271
Abertawe Bro Morgannwg University Health Board,Hafod y Wennol (Hensol Hospital),,CF72 8JX,51.504776,-3.370629
Abertawe Bro Morgannwg University Health Board,Tonna Hospital,,SA11 3LX,51.679861,-3.765473
Abertawe Bro Morgannwg University Health Board,Cefn Coed Hospital,,SA2 0GH,51.628715,-3.989525
Abertawe Bro Morgannwg University Health Board,Gorseinon Hospital,,SA4 4UU,51.672174,-4.048146
Abertawe Bro Morgannwg University Health Board,Neath Port Talbot Hospital,,SA12 7BX,51.599193,-3.800404
Abertawe Bro Morgannwg University Health Board,Morriston Hospital,,SA6 6NL,51.684084,-3.934049
Abertawe Bro Morgannwg University Health Board,Ty Garth Newydd (Learning Disabilites),,CF38 1UH,51.568009,-3.328728
Abertawe Bro Morgannwg University Health Board,Swn y Nant (Learning Disabilities),,CF38 1UE,51.569319,-3.328338
Abertawe Bro Morgannwg University Health Board,Brynafon Learning Disabilities Unit,,CF43 4UD,51.656137,-3.442076
Abertawe Bro Morgannwg University Health Board,Ely Houses,,SS14 2BQ,51.576101,0.486213
Cwm Taf University Health Board,Princess Of Wales Hospital,,CF31 1RQ,51.517358,-3.572369
Cwm Taf University Health Board,Glanrhyd Hospital,"(google indicates this is closed, could not find confirmation)",CF31 4LN,51.526542,-3.587794
Cwm Taf University Health Board,Dan y Bont (Learning Disabilites),,CF33 6HD,51.534534,-3.685646
Cwm Taf University Health Board,"Caswell Clinic , South Wales Forensic&psychiatric",,CF31 4LN,51.527749,-3.586646
Cwm Taf University Health Board,Maesteg General Hospital,,CF34 9PW,51.6109,-3.669489
Cwm Taf University Health Board,Cefn Yr Afon,,CF31 1JS,51.511999,-3.581416
Cwm Taf University Health Board,Taith Newydd (Mental Illness),,CF31 4LN,51.526542,-3.587794
Cwm Taf University Health Board,Ty Llidiard,,CF31 1RQ,51.517383,-3.57234
Cwm Taf University Health Board,Coity Clinic,,CF31 1RQ,51.517383,-3.57234
Cwm Taf University Health Board,Ysbyty George Thomas,,CF42 6YG,51.655475,-3.50378
Cwm Taf University Health Board,Ysbyty Cwm Cynon,,CF45 4BZ,51.687059,-3.392954
Cwm Taf University Health Board,Mental Health Services at Royal Glamorgan,,CF72 8XR,51.549703,-3.391381
Cwm Taf University Health Board,Ysbyty Cwm Rhondda,,CF40 2LX,51.636595,-3.450035
Cwm Taf University Health Board,Pontypridd & District Hospital,,CF37 4AL,51.602375,-3.326179
Cwm Taf University Health Board,Prince Charles Hospital,,CF47 9DT,51.764041,-3.386128
Cwm Taf University Health Board,The Royal Glamorgan Hospital,,CF72 8XR,51.548818,-3.391024
Cwm Taf University Health Board,Pinewood House,,CF42 6AE,51.660142,-3.506243
Velindre NHS Trust,Velindre Cancer Centre (Velindre Hospital),,CF14 2TL,51.516355,-3.228682
